Art	X	k	Similarity	t_total(ms)	t_compare(ms)	mem_used(bytes)
Jaccard_Optimized	3	-	0.003278688524590164	7.15820	0.2032	59488
MinHash	3	1	0	5.59000	3.07	1059352
MinHash	3	8	0	5.61650	3.1039	2002496
MinHash	3	32	0	4.75690	2.1491	1250872
MinHash	3	256	0.00390625	10.21190	7.477	1415680
MinHash	3	1024	0	10.34530	7.1142	1823464
Jaccard_Optimized	8	-	0.007389162561576354	4.00130	0.1314	147960
MinHash	8	1	0	4.00970	1.0865	71752
MinHash	8	8	0	3.90910	1.4734	310992
MinHash	8	32	0	5.18240	2.4785	1117624
MinHash	8	256	0.0078125	9.11310	5.6491	3576112
MinHash	8	1024	0.0068359375	22.32790	19.3165	3315832
Jaccard_Optimized	89	-	0.09053843386497182	6.69940	1.5551	1768456
MinHash	89	1	0	4.32500	1.5862	428960
MinHash	89	8	0	8.03690	4.2875	1809536
MinHash	89	32	0	10.33600	7.9149	2303896
MinHash	89	256	0.1015625	37.70870	35.4481	2234824
MinHash	89	1024	0.0849609375	133.73500	131.336	4237048
